        R,                     Em
2.77,-0.6860806882
2.78,-0.6864939654
2.79,-0.6868975971
2.8,-0.6872917303
2.81,-0.6876765093
2.82,-0.6880520764
2.83,-0.6884185713
2.84,-0.6887761316
2.85,-0.6891248927
2.86,-0.6894649879
2.87,-0.6897965481
2.88,-0.6901197024
2.89,-0.6904345776
2.9,-0.6907412988
2.91,-0.6910399888
2.92,-0.6913307685
2.93,-0.691613757
2.94,-0.6918890715
2.95,-0.6921568274
2.96,-0.692417138
2.97,-0.6926701152
2.98,-0.6929158689
2.99,-0.6931545074
3,-0.6933861373
3.01,-0.6936108633
3.02,-0.6938287888
3.03,-0.6940400155
3.04,-0.6942446434
3.05,-0.6944427711
3.06,-0.6946344956
3.07,-0.6948199123
3.08,-0.6949991154
3.09,-0.6951721973
3.1,-0.6953392494
3.11,-0.6955003613
3.12,-0.6956556215
3.13,-0.695805117
3.14,-0.6959489335
3.15,-0.6960871555
3.16,-0.6962198661
3.17,-0.6963471471
3.18,-0.6964690792
3.19,-0.6965857419
3.2,-0.6966972133
3.21,-0.6968035704
3.22,-0.6969048892
3.23,-0.6970012443
3.24,-0.6970927095
3.25,-0.6971793572
3.26,-0.6972612588
3.27,-0.6973384847
3.28,-0.6974111042
3.29,-0.6974791857
3.3,-0.6975427963
3.31,-0.6976020024
3.32,-0.6976568692
3.33,-0.6977074611
3.34,-0.6977538415
3.35,-0.6977960727
3.36,-0.6978342164
3.37,-0.6978683331
3.38,-0.6978984825
3.39,-0.6979247236
3.4,-0.6979471143
3.41,-0.6979657118
3.42,-0.6979805723
3.43,-0.6979917514
3.44,-0.6979993038
3.45,-0.6980032833
3.46,-0.6980037431
3.47,-0.6980007355
3.48,-0.6979943121
3.49,-0.6979845237
3.5,-0.6979714205
3.51,-0.6979550518
3.52,-0.6979354664
3.53,-0.6979127121
3.54,-0.6978868363
3.55,-0.6978578856
3.56,-0.697825906
3.57,-0.6977909427
3.58,-0.6977530405
3.59,-0.6977122432
3.6,-0.6976685944
3.61,-0.6976221367
3.62,-0.6975729123
3.63,-0.6975209628
3.64,-0.6974663293
3.65,-0.697409052
3.66,-0.6973491708
3.67,-0.697286725
3.68,-0.6972217534
3.69,-0.697154294
3.7,-0.6970843846
3.71,-0.6970120622
3.72,-0.6969373634
3.73,-0.6968603244
3.74,-0.6967809806
3.75,-0.6966993673
3.76,-0.6966155189
3.77,-0.6965294697
3.78,-0.6964412531
3.79,-0.6963509025
3.8,-0.6962584505
3.81,-0.6961639294
3.82,-0.696067371
3.83,-0.6959688067
3.84,-0.6958682674
3.85,-0.6957657836
3.86,-0.6956613855
3.87,-0.6955551028
3.88,-0.6954469646
3.89,-0.695337
3.9,-0.6952252373
3.91,-0.6951117047
3.92,-0.6949964299
3.93,-0.6948794402
3.94,-0.6947607625
3.95,-0.6946404235
3.96,-0.6945184494
3.97,-0.6943948661
3.98,-0.694269699
3.99,-0.6941429734
4,-0.6940147141
4.01,-0.6938849457
4.02,-0.6937536921
4.03,-0.6936209774
4.04,-0.6934868251
4.05,-0.6933512583
4.06,-0.6932142999
4.07,-0.6930759725
4.08,-0.6929362984
4.09,-0.6927952996
4.1,-0.6926529978
4.11,-0.6925094144
4.12,-0.6923645704
4.13,-0.6922184867
4.14,-0.6920711839
4.15,-0.6919226823
4.16,-0.6917730018
4.17,-0.6916221621
4.18,-0.6914701829
4.19,-0.6913170832
4.2,-0.691162882
4.21,-0.6910075981
4.22,-0.69085125
4.23,-0.6906938557
4.24,-0.6905354334
4.25,-0.6903760007
4.26,-0.6902155752
4.27,-0.6900541742
4.28,-0.6898918146
4.29,-0.6897285133
4.3,-0.689564287
4.31,-0.6893991519
4.32,-0.6892331243
